identifier,identifier 2,identifier_filename,repository,repository_location,collection_identifier,collection,title,name,name_authority,name_type,name_role,item_type,internet_media_type,form,form_URI,extent,abstract,date_text,date_single/start,date_end,date_qualifier,shelf_locator,subject_broad_local,subject_lcsh,subject_lcsh_authority,subject_lcsh_URI,subject_lcsh 2,subject_lcsh_authority 2,subject_lcsh_URI 2,subject_name 1,subject_name_URI 1,subject_name 2,subject_name_URI 2,subject_geographic 1,subject_geographic_URI 1,subject_geographic_coordinates 1,subject_geographic 2,subject_geographic_URI 2,subject_geographic_coordinates 2,project_title,project_URL,Column,Column2,rights,record_source,record_creation_date,cd_phase
daniel_NationalPolitics_0449,,daniel_NationalPolitics_0449.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",I hope we can work together this session and not get involved in a power struggle,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,I hope we can work together this session and not get involved in a power struggle,circa 1975,1975,,approximate,National Politics,National Politics,,,,,,,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,Library of Congress,http://id.loc.gov/authorities/names/n78089035,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0450,,daniel_NationalPolitics_0450.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","Time to turn the clock back...to June 16, 1972","Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"Time to turn the clock back��_to June 16, 1972",1972,1972,,,National Politics,National Politics,,,,"Watergate Affair, 1972-1974",lcsh,http://id.loc.gov/authorities/subjects/sh85145735,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0451,,daniel_NationalPolitics_0451.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Hallelujah!! Maybe now they will leave us alone,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Hallelujah!! Maybe now they will leave us alone,2005,2005,,,National Politics,National Politics,,,,Giraffe,lcsh,http://id.loc.gov/authorities/subjects/sh85055000,"Felt, W. Mark, 1913-2008",http://id.loc.gov/authorities/names/n78076772,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0452,,daniel_NationalPolitics_0452.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","We're no kangaroo court, right, Mr. Greenjeans?","Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"We're no kangaroo court, right, Mr. Greenjeans?",1973,1973,,,National Politics,National Politics,"Watergate Affair, 1972-1974",lcsh,http://id.loc.gov/authorities/subjects/sh85145735,,,,,,"Rodino, Peter W.",http://id.loc.gov/authorities/names/n81047560,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0453,,daniel_NationalPolitics_0453.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Let me call your attention to this chart (of troop levels),"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Let me call your attention to this chart (of troop levels),1972,1972,,,National Politics,National Politics,Vietnam War (1961-1975),http://id.loc.gov/authorities/subjects/sh85143277,,,,,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0454,,daniel_NationalPolitics_0454.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Ping (Bomb),"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Ping (Bomb),circa 1972,1972,,approximate,National Politics,National Politics,Vietnam War (1961-1975),http://id.loc.gov/authorities/subjects/sh85143277,,,,,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0455,,daniel_NationalPolitics_0455.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","When I was watching Nixon and Mao on TV, and Brezhnev, my hear broke!","Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"When I was watching Nixon and Mao on TV, and Brezhnev, my hear broke!",1972,1972,,,National Politics,National Politics,,,,Communism--United States,lcsh,http://id.loc.gov/authorities/subjects/sh85029130,"Castro, Fidel, 1926-",http://id.loc.gov/authorities/names/n80039693,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0456,,daniel_NationalPolitics_0456.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Him and his #@&**# trips!,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Him and his #@&**# trips!,1972,1972,,,National Politics,National Politics,,,,,,,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,Democratic National Committee (U.S.),http://id.loc.gov/authorities/names/n81133513,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0457,,daniel_NationalPolitics_0457.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Nixon to go to Moscow after his China trip,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Nixon to go to Moscow after his China trip,1972,1972,,,National Politics,National Politics,,,,,,,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973",http://id.loc.gov/authorities/names/n80005801,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0458,,daniel_NationalPolitics_0458.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",The Sculptor (Richard M. Nixon),"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,The Sculptor (Richard M. Nixon),circa 1972,1972,,approximate,National Politics,National Politics,Foreign relations,lcsh,http://id.loc.gov/authorities/subjects/sh85050519,Domestic relations,lcsh,http://id.loc.gov/authorities/subjects/sh85038927,,,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0459,,daniel_NationalPolitics_0459.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Congress is being downright obstinate - they overrode my Valentine!,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Congress is being downright obstinate - they overrode my Valentine!,circa 1975,1975,,approximate,National Politics,National Politics,,,,,,,"Ford, Gerald R., 1913-2006",http://id.loc.gov/authorities/names/n79022087,,,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
daniel_NationalPolitics_0460,,daniel_NationalPolitics_0460.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012","I just saw inflation running around loose, and it's all his fault","Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"I just saw inflation running around loose, and it's all his fault",circa 1975,1975,,approximate,National Politics,National Politics,,,,,,,"Ford, Gerald R., 1913-2006",http://id.loc.gov/authorities/names/n79022087,Democratic National Committee (U.S.),http://id.loc.gov/authorities/names/n81133513,,,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection,,,"The copyright interests in this collection remain with the creator. For more information contact The University of Tennessee Libraries, Special Collections, Knoxville.",,,Phase 2
